,owner__username,owner__first_name,owner__last_name,owner__cellphone,owner__dob,owner__parentname,owner__parentemail,owner__parentphone,school__province,school__name,school__natemis,worktitle,workfile,learnergrade,workformulafile,teachername,teacheremail,teacherphone,question1,question2,question3,work status,Unique Id
10,test448@test.com,amirsaleh,salehzadeh,0724547056,2011-12-15,amirsaleh salehzadeh,,0744547056,WC,KLAASVOOGDS PRIMARY SCHOOL,109320609.0,sdfsdf,works/87015522_137390304439227_3270466791012302848_o_nWhZOVw.jpg,Grade 12,,sdfsdf,amirsa_salehzadeh@yahoo.com,,asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a,asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a,asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx z a asfad asd  asdzx,Requires Revision,C_12_26
11,test44z@test.com,amirsaleh,salehzadeh,0724547056,2011-12-15,amirsaleh salehzadeh,,0744547056,WC,OUPLAAS EK PRIMARY SCHOOL,106493457.0,,,Grade 8,,teacher name,aaa,,,,,Pending,C_8_27
12,test111@test.com,amirsaleh,salehzadeh,0724547056,2011-12-06,amirsaleh salehzadeh,,0744547056,WC,OUPLAAS EK PRIMARY SCHOOL,106493457.0,artwork name,works/unnamed.jpg,Grade 8,formulas/2.jpg,teach name,asdf@asdf.com,,q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv,q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv,q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv q1 1 a1a 1a dkwe wsdsdv,Waiting For Artpost,C_8_28
13,test4444@test.com,amirsaleh,salehzadeh,0744547056,2011-11-11,parent name,,03333333,MP,PRIMARY SCHOOL BADPLAAS,800026625.0,,,Grade 8,,teacher name,salehzadeh@gmail.com,,,,,Pending,H_8_29
14,test44sss@test.com,amirsaleh,salehzadeh,0744547056,2011-12-09,amirsaleh salehzadeh,,0744547056,MP,EKUKHANYENI PRIMARY SCHOOL (Badplaas),800000554.0,ddd,works/images.jpg,Grade 10,,sdfsdf,salehzadeh@gmail.com,,asdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv z,asdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv z,asdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv zasdfa as dfzcxv z,Waiting For GMMDC Decision,H_10_30
15,test3773@test.com,amirsaleh,salehzadeh,0724547056,2011-12-23,sdf,,0744547056,,,,,,,,,,,,,,Pending,XX_XXXXX_XXXXX
16,tembisazuma@gmail.com,Tembisa,Zuma,0615248792,2005-06-27,Jacob Zuma,,0613698521,WC,OCEAN VIEW SECONDARY SCHOOL,104314201.0,Coronavirus,works/Hope.png,Grade 8,,Victoria Clephane,clephanev@gmail.com,,one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty,one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty,one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty,Accepted Entry,C_8_72
17,ntombiramaphosa@gmail.com,Ntombi,Ramaphosa,0631478529,2006-05-02,Cyril Ramaphosa,,0639874561,WC,OCEAN VIEW SECONDARY SCHOOL,104314201.0,Hope,works/NtombiRamaphosa.jpg,Grade 9,,Victoria Clephane,clephanev@gmail.com,,one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty,one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty,one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty,Accepted Entry,C_9_73
18,mbalinali@gmail.com,Mbali,Mbeki,0611597535,2007-01-13,Govan Mbeki,,0613579518,WC,OCEAN VIEW SECONDARY SCHOOL,104314201.0,Faith,works/MbaliMbeki.jpg,Grade 10,,Victoria Clephane,clephanev@gmail.com,,one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty,one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty,one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twentyone twentytwo three four five six seven eight nine thirty,Waiting For GMMDC Decision,C_10_74
19,asdf@asdf.com,amirsaleh,salehzadeh,0724547056,2011-12-24,amirsaleh salehzadeh parent,,0724547056,,,,,,,,,salehzadeh@gmail.com,,,,,Pending,XX_XXXXX_XXXXX
20,test42224@test.com,amirsaleh,salehzadeh,0224547056,2011-12-07,amirsaleh salehzadeh,,0744547056,,,,,,,,,,,,,,Pending,XX_XXXXX_XXXXX
21,test411114@test.com,amirsaleh,salehzadeh,0724547056,2011-12-14,amirsaleh salehzadeh,parent@ma.com,0000000000,,,,,,,,,,,,,,Pending,XX_XXXXX_XXXXX
22,asdfad@adf.com,amirsaleh,salehzadeh,0744547056,2011-12-13,amirsaleh salehzadeh,amirsa_salehzadeh@yahoo.com,0724547056,,,,,,,,,,,,,,Pending,XX_XXXXX_XXXXX
23,test45554@test.com,amirsaleh,salehzadeh,0724547056,2011-12-14,amirsaleh salehzadeh,,0724547056,,,,,,,,,,,,,,Pending,XX_XXXXX_XXXXX
24,test49994@test.com,amirsaleh,salehzadeh,0724547056,2011-12-07,amirsaleh salehzadeh,test33@test.com,0744547056,Other,test,0.0,,,Grade 11,,teacher name,salehzadeh@gmail.com,,,,,Pending,J_11_80
